node,value,rank,metric
ABBV,321.0,1,in_degree
ABEO,314.0,2,in_degree
ABSI,310.0,3,in_degree
ABT,293.0,4,in_degree
RXST,68.0,5,in_degree
RXST,4.0,1,out_degree
PBH,4.0,2,out_degree
BKD,4.0,3,out_degree
ABSI,4.0,4,out_degree
ABT,4.0,5,out_degree
ABBV,324.0,1,total_degree
ABEO,317.0,2,total_degree
ABSI,314.0,3,total_degree
ABT,297.0,4,total_degree
RXST,72.0,5,total_degree
ABSI,125.18110149958952,1,in_degree_w
ABBV,120.07866396165453,2,in_degree_w
ABT,118.00603954895965,3,in_degree_w
ABEO,90.92385928615391,4,in_degree_w
RXST,50.3601329381966,5,in_degree_w
SMTI,3.8497686292157858,1,out_degree_w
GKOS,3.469686402050602,2,out_degree_w
AMRX,3.4647353490249957,3,out_degree_w
BKD,3.417802489240898,4,out_degree_w
IMVT,3.391852553120814,5,out_degree_w
ABSI,127.92052928517874,1,total_degree_w
ABBV,121.18386178895547,2,total_degree_w
ABT,120.84442745281153,3,total_degree_w
ABEO,91.621416889079,4,total_degree_w
RXST,53.678648351655205,5,total_degree_w
RXST,0.06549952639499887,1,pagerank
PBH,0.06121731491103885,2,pagerank
BKD,0.0440089849280314,3,pagerank
ABSI,0.04246981706579139,4,pagerank
ABT,0.04111898949280736,5,pagerank
ELMD,0.0043297148407827335,1,hub
PRTC,0.0043096176692590075,2,hub
IONS,0.004306540405836673,3,hub
HUMA,0.004256358483925684,4,hub
PTCT,0.0042413312408528915,5,hub
ABSI,0.26278651211151793,1,authority
ABT,0.2497384467034073,2,authority
ABBV,0.2447709227275065,3,authority
ABEO,0.18852760256919135,4,authority
RXST,0.008051818971503259,5,authority
ABSI,0.04287650675315873,1,betweenness
ABT,0.03686885801423246,2,betweenness
ZBH,0.028774749479595293,3,betweenness
FOLD,0.0225637798325023,4,betweenness
GKOS,0.01444546642784528,5,betweenness
RXST,0.2904188124659874,1,closeness
BKD,0.2722020909964613,2,closeness
ABSI,0.270059707461777,3,closeness
FOLD,0.2656387904529713,4,closeness
AMRX,0.2640097389897654,5,closeness
PBH,0.44496384884757295,1,eigenvector
RXST,0.42165776802876875,2,eigenvector
ZTS,0.3157474277778528,3,eigenvector
BKD,0.2738365928311866,4,eigenvector
PRAX,0.2172743434538539,5,eigenvector
